p1_class,p1_level,p1_hp,p1_ac,p1_avg_save,p2_class,p2_level,p2_hp,p2_ac,p2_avg_save,p3_class,p3_level,p3_hp,p3_ac,p3_avg_save,p4_class,p4_level,p4_hp,p4_ac,p4_avg_save,num_of_monsters,monster_name,monster_cr,monster_ac,monster_hp,dificulty
Rogue,4,37,12,3,Rogue,4,34,15,3,Barbarian,4,55,15,3,Warlock,4,29,15,3,10,Sprite,0.25,15,2,1.0
Cleric,2,19,18,2,Fighter,2,24,15,2,Fighter,2,17,15,2,Warlock,2,18,12,2,10,Kobold,0.125,12,5,0.6555393693260922
Sorcerer,1,4,14,2,Warlock,1,9,14,2,Wizzard,1,4,15,2,Druid,1,5,15,2,2,Kobold Dragonshield,1.0,15,44,0.0
Bard,2,19,13,2,Bard,2,16,12,2,Wizzard,2,13,11,2,Ranger,2,21,14,2,1,Kruthik Hive Lord,5.0,20,102,0.0
Wizzard,4,18,11,3,Druid,4,39,15,3,Bard,4,27,14,3,Sorcerer,4,26,13,3,3,Deep Scion,3.0,11,67,0.0
Barbarian,3,34,17,3,Ranger,3,27,15,3,Fighter,3,30,13,3,Bard,3,20,14,3,7,Quickling,1.0,16,10,0.40176644880174295
Bard,4,25,13,3,Monk,4,38,15,3,Artificer,4,24,15,3,Warlock,4,25,15,3,10,Grimlock,0.25,11,11,0.7372523632733284
Paladin,3,30,14,3,Paladin,3,26,14,3,Wizzard,3,21,11,3,Sorcerer,3,16,15,3,2,Spawn of Kyuss,5.0,10,76,0.18826378651133246
Artificer,1,8,18,2,Sorcerer,1,6,13,2,Warlock,1,8,12,2,Bard,1,8,13,2,1,Ghast,2.0,13,36,0.625
Rogue,2,11,14,2,Cleric,2,13,13,2,Barbarian,2,23,15,2,Rogue,2,13,16,2,10,Owl,0.0,11,1,0.0
Cleric,4,24,19,3,Barbarian,4,38,12,3,Cleric,4,27,13,3,Ranger,4,44,16,3,1,Grick Alpha,7.0,18,75,0.7621013139434649
Artificer,3,19,14,3,Bard,3,17,15,3,Paladin,3,31,18,3,Bard,3,23,14,3,5,Choker,1.0,16,13,0.9555286177146236
Barbarian,4,43,12,3,Monk,4,29,16,3,Warlock,4,29,11,3,Druid,4,36,15,3,10,Gnoll Witherling,0.25,12,11,0.9639442067682319
Barbarian,5,44,16,3,Artificer,5,42,16,3,Sorcerer,5,38,13,3,Warlock,5,46,11,3,10,Bullywug,0.25,15,11,0.6546622774769587
Bard,4,34,16,3,Druid,4,28,16,3,Warlock,4,27,12,3,Sorcerer,4,36,13,3,2,Red Slaad,5.0,14,93,0.5379068194143924
Artificer,1,8,17,2,Artificer,1,8,12,2,Wizzard,1,7,14,2,Bard,1,10,14,2,10,Gnoll Hunter,0.5,13,22,0.0
Monk,3,25,13,3,Wizzard,3,17,12,3,Ranger,3,28,14,3,Sorcerer,3,19,15,3,1,Shambling Mound,5.0,15,136,0.0
Druid,4,37,15,3,Cleric,4,29,16,3,Bard,4,39,15,3,Druid,4,32,14,3,10,Rat,0.0,10,1,1.0
Bard,3,26,16,3,Cleric,3,18,14,3,Bard,3,29,16,3,Ranger,3,26,14,3,1,Xorn,5.0,19,73,0.3909223053849769
Barbarian,3,35,12,3,Artificer,3,24,12,3,Rogue,3,21,14,3,Fighter,3,29,18,3,8,Xvart Warlock of Raxivort,1.0,12,22,0.8002995244688162
Fighter,4,28,18,3,Rogue,4,35,12,3,Monk,4,27,12,3,Monk,4,25,11,3,2,Sahuagin Baron,5.0,16,76,0.0
Rogue,2,14,16,2,Warlock,2,16,16,2,Cleric,2,18,16,2,Cleric,2,17,14,2,1,Hook Horror,3.0,15,75,0.4669719591714476
Cleric,4,34,16,3,Artificer,4,24,15,3,Druid,4,27,16,3,Ranger,4,31,13,3,10,Swarm of Centipedes,0.5,12,22,0.43238739873774257
Monk,1,6,16,2,Rogue,1,11,17,2,Wizzard,1,7,11,2,Bard,1,6,13,2,10,Giant Goat,0.5,11,19,0.0
Barbarian,4,54,14,3,Fighter,4,36,18,3,Druid,4,24,11,3,Cleric,4,36,17,3,1,Hezrou,8.0,16,136,0.705925925925926
Sorcerer,1,5,14,2,Rogue,1,6,13,2,Cleric,1,6,12,2,Artificer,1,10,18,2,1,Quaggoth,2.0,13,45,0.39473684210526316
Wizzard,4,30,10,3,Warlock,4,32,14,3,Druid,4,24,16,3,Sorcerer,4,20,10,3,10,Violet Fungus,0.25,5,18,0.8734999999999999
